title,authors,book_description,meta_all
ENREDADOS: EL GRAN LIBRO DE LA PELICULA,Disney,,Editorial: DISNEY Año de edición: 2011 Materia: Narrativa de 3 a 6 años ISBN: 978-84-9951-045-3 Páginas: 96 Encuadernación: Cartoné Colección: Gran Libro de la Pelicula Idioma: Español
ENREDADOS. LA GUÍA ESENCIAL DEL MUNDO DE RAPUNZEL,Disney,,Editorial: DISNEY Año de edición: 2011 Materia: Narrativa de 6 a 8 años ISBN: 978-84-9951-048-4 Páginas: 48 Encuadernación: Cartoné Colección: Libros Disney Idioma: Español
ENREDADOS. EL SUEÑO DE RAPUNZEL,Disney,,Editorial: DISNEY Año de edición: 2011 Materia: De 3 a 6 años ISBN: 978-84-9951-052-1 Páginas: 24 Encuadernación: Cartoné Colección: Libros Disney Idioma: Español
ENREDADOS,Disney,,Editorial: DISNEY Año de edición: 2011 Materia: Narrativa de 3 a 6 años ISBN: 978-84-9951-046-0 Páginas: 80 Encuadernación: Rústica Colección: Disney Presenta Idioma: Español
ENREDADOS. LA NOVELA,Disney,,Editorial: DISNEY Año de edición: 2011 Materia: Narrativa de 6 a 8 años ISBN: 978-84-9951-047-7 Páginas: 128 Encuadernación: Rústica Colección: Libros Disney Idioma: Español
ENTRENA TU MENTE PARA SER UN GENIO,Varios Autores,,Editorial: EDEBÉ Año de edición: 2010 Materia: Juegos y actividades de 10 a 12 años ISBN: 978-84-236-9629-1 Páginas: 192 Encuadernación: Cartoné Idioma: Español
ENREDADOS,Disney,,Editorial: EVEREST Año de edición: 2010 Materia: Álbum ilustrado ISBN: 978-84-441-6626-1 Páginas: 112 Encuadernación: Cartoné Colección: Los Clasicos (nueva Edicion) Idioma: Español
ENTRE APACHES Y COMANCHES,Karl May,,Editorial: ZETA BOLSILLO Año de edición: 2008 Materia: Narrativa de 10 a 12 años ISBN: 978-84-96778-98-6 Páginas: 290 Encuadernación: Rústica Idioma: Español
ENTRE ALGODONES,"[""Dolores Benlliure"", ""Conxa Martinez""]",,Editorial: EDICIONES CARENA Año de edición: 2014 Materia: Narrativa de 16 a 18 años ISBN: 978-84-16130-10-8 Encuadernación: Rústica Idioma: Español
ENSUEÑOS,David Aceituno,,Editorial: BEASCOA Año de edición: 2012 Materia: Álbum ilustrado ISBN: 978-84-488-3380-0 Páginas: 96 Encuadernación: Cartoné Colección: Lumen Infantil Idioma: Español
ENTRESOMBRAS. 1: ENTRESOMBRAS Y EL CIRCO AMBULANTE,Roberto Aliaga,,Editorial: MACMILLAN Año de edición: 2010 Materia: Narrativa de 8 a 10 años ISBN: 978-84-7942-595-1 Páginas: 133 Encuadernación: Cartoné Colección: Entresombras Idioma: Español Temas: Convivencia y relaciones sociales. Humor . Intriga Valores: Amistad. Convivencia. Respeto
ENTRESOMBRAS Y LA CABALGATA MACABRA,Roberto Aliaga,,Editorial: MACMILLAN Año de edición: 2012 Materia: Narrativa de 8 a 10 años ISBN: 978-84-15426-49-3 Páginas: 132 Encuadernación: Cartoné Idioma: Español
ENREDADOS PEQUECUENTOS,Disney,,Editorial: DISNEY Año de edición: 2012 Materia: De 3 a 6 años ISBN: 978-84-9951-374-4 Páginas: 26 Colección: Libros Disney Idioma: Español
EÓN EL DESPERTAR DEL OJO DE DRAGÓN,Alison Goodman,,Editorial: ***CERRADA*** VICEVERSA EDITORIAL Año de edición: 2009 Materia: Narrativa de 14 a 16 años ISBN: 978-84-937109-0-3 Páginas: 528 Encuadernación: Cartoné Colección: Juvenil Idioma: Español
ENTRE DOS LUNAS,Sharon Creech,,"Editorial: NOGUER Año de edición: 2011 Materia: Narrativa de 12 a 14 años ISBN: 978-84-279-3221-0 Páginas: 288 Encuadernación: Rústica Colección: Cuatro Vientos, 120 Idioma: Español"
ENTRESOMBRAS. 2: ENTRESOMBRAS Y LA LLAVE MAESTRA,Roberto Aliaga,,Editorial: MACMILLAN Año de edición: 2010 Materia: Narrativa de 10 a 12 años ISBN: 978-84-7942-597-5 Páginas: 128 Encuadernación: Cartoné Idioma: Español
EONA. EL ÚLTIMO OJO DE DRAGÓN,Alison Goodman,,Editorial: ***CERRADA*** VICEVERSA EDITORIAL Año de edición: 2012 Materia: Narrativa de 14 a 16 años ISBN: 978-84-92819-90-4 Páginas: 585 Encuadernación: Cartoné Colección: Viceversa Juvenil Idioma: Español
ENTRE DOS LUNAS,Sharon Creech,,Editorial: NOGUER Año de edición: 2011 Materia: Narrativa de 12 a 14 años ISBN: 978-84-279-0127-8 Páginas: 221 Encuadernación: Rústica Colección: Young Adult Idioma: Español
ENTRESOMBRAS Y EL VIAJE DEL FIN...DE CURSO,Roberto Aliaga,,Editorial: MACMILLAN Año de edición: 2011 Materia: Narrativa de 8 a 10 años ISBN: 978-84-7942-833-4 Páginas: 154 Encuadernación: Cartoné Idioma: Español
ENTRE DIMENSIONES,Susana Vallejo,,Editorial: HIDRA Año de edición: 2013 Materia: Narrativa de 8 a 10 años ISBN: 978-84-15709-28-2 Páginas: 144 Encuadernación: Cartoné Colección: Tu Decides la Aventura Idioma: Español
ENZO EL COCHE DE CARRERAS,"[""Christyan Fox"", ""Diane Fox""]",,Editorial: BEASCOA Año de edición: 2011 Materia: Narrativa de 3 a 6 años ISBN: 978-84-488-3119-6 Páginas: 32 Encuadernación: Rústica Colección: Bujias City Idioma: Español
EPAMINONDAS,Pepe Maestro,,Editorial: EDELVIVES Año de edición: 2010 Materia: Narrativa de 6 a 8 años ISBN: 978-84-263-7672-5 Páginas: 24 Encuadernación: Cartoné Colección: Colorin Colorado Idioma: Español
ENVIDIA,Anna Godbersen,,Editorial: MONTENA Año de edición: 2010 Materia: Narrativa de 16 a 18 años ISBN: 978-84-8441-616-6 Páginas: 344 Encuadernación: Rústica Idioma: Español
ÉRASE UNA VEZ... EL HOMBRE,,,Editorial: MEDIALIVE Año de edición: 2010 Materia: Divulgación de 6 a 8 años ISBN: 978-84-92985-51-7 Páginas: 228 Encuadernación: Cartoné Colección: Infantil Idioma: Español
ÉRASE OTRA VEZ UN BOSQUE,Élisa Géhin,,Editorial: INTERMON OXFAM Año de edición: 2010 Materia: Narrativa de 3 a 6 años ISBN: 978-84-8452-693-3 Páginas: 26 Encuadernación: Cartoné Colección: Infantil y Juvenil. Sueños Idioma: Español
ÉRASE UN VIEJO MONO QUE SE TRAGÓ UNA RANA,Jennifer Ward,,Editorial: EDICIONES FORTUNA Año de edición: 2010 Materia: Narrativa de 3 a 6 años ISBN: 978-84-938311-4-1 Páginas: 30 Encuadernación: Cartoné Idioma: Español
N/A,,,
N/A,,,
ÉRASE UNA VEZ... DIEZ OSITOS EN LA CAMA,Alison Atkins,,Editorial: EDICIONES B Año de edición: 2007 Materia: De 3 a 6 años ISBN: 978-84-666-3358-1 Páginas: 20 Encuadernación: Cartoné Colección: Volúmenes Singulares Idioma: Español
ÉRASE UNA VEZ LA NAVIDAD,Clement C. Moore,,Editorial: BRUÑO Año de edición: 2012 Materia: Narrativa de 6 a 8 años ISBN: 978-84-216-8789-5 Páginas: 32 Encuadernación: Cartoné Idioma: Español
ERASE UNA VEZ UN LIBRITO PEQUEÑO PEQUEÑITO,Antonella Abbatiello,,Editorial: PANINI Año de edición: 2012 Materia: Para leer a los niños ISBN: 978-88-7703-117-4 Páginas: 26 Encuadernación: Cartoné Idioma: Español Temas: Comunicación y representación. Desarrollo habilidades básicas Valores: Observación
ÉRASE UNA ALDEA SIN SUERTE,Teresa Núñez,,Editorial: EDEBÉ Año de edición: 2013 Materia: Narrativa de 10 a 12 años ISBN: 978-84-683-0865-4 Páginas: 152 Encuadernación: Rústica Colección: Tucán Verde Idioma: Español Temas: Convivencia y relaciones sociales Valores: Esfuerzo personal. Humor
ERES MI MEJOR AMIGA,,,Editorial: LIBRO DIVO Año de edición: 2015 Materia: Narrativa de 3 a 6 años ISBN: 978-84-15919-59-9 Encuadernación: Rústica Idioma: Español
ERAGON. EDICIÓN DE LUJO,Christopher Paolini,,Editorial: ROCA Año de edición: 2006 Materia: Narrativa de 12 a 14 años ISBN: 978-84-96544-75-8 Páginas: 450 Encuadernación: Cartoné Colección: Juvenil Idioma: Español
N/A,,,
ERAGON,Christopher Paolini,,Editorial: ROCABOLSILLO Año de edición: 2009 Materia: Narrativa de 12 a 14 años ISBN: 978-84-96940-58-1 Páginas: 648 Encuadernación: Rústica Colección: Bestseller Idioma: Español
ERAGON (CATALAN),Christopher Paolini,,Editorial: ROCA Año de edición: 2010 Materia: Narrativa de 12 a 14 años ISBN: 978-84-96284-33-3 Páginas: 656 Encuadernación: Cartoné Idioma: Español
ERAGON,Christopher Paolini,,Editorial: ROCA Año de edición: 2010 Materia: Narrativa de 12 a 14 años ISBN: 978-84-96544-73-4 Páginas: 656 Encuadernación: Cartoné Colección: Juvenil Idioma: Español
ERAGON/ ELDEST,Christopher Paolini,,Editorial: ROCA EDITORIAL Año de edición: 2008 Materia: Narrativa de 12 a 14 años ISBN: 978-84-92429-42-4 Páginas: 1481 Encuadernación: Cartoné Idioma: Español
ERAGON,Christopher Paolini,,Editorial: ROCABOLSILLO Año de edición: 2013 Materia: Narrativa de 12 a 14 años ISBN: 978-84-15729-00-6 Páginas: 656 Encuadernación: Bolsillo Colección: Best-seller/ficcion Idioma: Español
ERAGON. GUÍA DE ALAGAËSIA,Christopher Paolini,,Editorial: ROCA EDITORIAL Año de edición: 2010 Materia: De 12 a 14 años ISBN: 978-84-9918-108-0 Páginas: 32 Encuadernación: Cartoné Colección: Saga el Legado Idioma: Español
ÉRASE UNA VEZ DON QUIJOTE,Agustin Sanchez Aguilar,,Editorial: VICENS-VIVES Año de edición: 2011 Materia: Narrativa de 8 a 10 años ISBN: 978-84-316-7849-4 Páginas: 112 Encuadernación: Guaflex Colección: Piñata Idioma: Español
"ÉRASE OTRA VEZ...RATH, LA LEONA",Anónimo,,Editorial: PARRAMÓN Año de edición: 2010 Materia: Narrativa de 6 a 8 años ISBN: 978-84-342-3639-4 Páginas: 32 Encuadernación: Cartoné Idioma: Español
ÉRASE OTRA VEZ...LOBOS DE FÁBULA,"[""Esopo"", ""Jean de la Fontaine""]",,Editorial: PARRAMÓN Año de edición: 2010 Materia: Narrativa de 6 a 8 años ISBN: 978-84-342-3633-2 Páginas: 32 Encuadernación: Cartoné Idioma: Español
ÉRASE UNA VEZ LA FAMILIA,"[""Teresa Blanch"", ""Anna Gasol""]",,Editorial: EDEBÉ Año de edición: 2012 Materia: Narrativa de 6 a 8 años ISBN: 978-84-683-0721-3 Páginas: 150 Encuadernación: Cartoné Idioma: Español
N/A,,,
N/A,,,
ERIC VAL. DESASTRE TOTAL,Michael Gerard Bauer,,Editorial: BRUÑO Año de edición: 2014 Materia: Narrativa de 10 a 12 años ISBN: 978-84-696-0175-4 Páginas: 192 Colección: Castellano - Bruño - Ficción Idioma: Español
ERIK EL CONSTRUCTOR DE SUEÑOS,Kike Gómez,,Editorial: EDITORIALES VARIAS Año de edición: 2014 Materia: Álbum ilustrado ISBN: 978-84-941411-5-7 Páginas: 36 Idioma: Español
ES COMO YO - JUST LIKE ME,Sally Cutting,,Editorial: EDIMATER S.L. Año de edición: 2014 Materia: Narrativa de 3 a 6 años ISBN: 978-84-96870-91-8 Páginas: 22 Encuadernación: Cartoné Colección: Generical Idioma: Español
ERNESTO Y CELESTINA,Gabrielle Vicent,,Editorial: MARENOSTRUM Año de edición: 2008 Materia: De 6 a 8 años ISBN: 978-84-96391-03-1 Páginas: 25 Encuadernación: Cartoné Idioma: Español
EREBOS,U. Poznanski,,Editorial: ALFAGUARA Año de edición: 2011 Materia: Narrativa de 16 a 18 años ISBN: 978-84-204-0760-9 Páginas: 480 Encuadernación: Rústica Colección: Alfaguara Juvenil Idioma: Español
ERNESTO Y CELESTINA MÚSICOS DE LA CALLE,Gabrielle Vicent,,Editorial: MARENOSTRUM Año de edición: 2008 Materia: De 6 a 8 años ISBN: 978-84-96391-06-2 Páginas: 28 Encuadernación: Cartoné Idioma: Español
ERES LA MEJOR BABY MOUSE,Jennifer Holm,,Editorial: RBA LIBROS Año de edición: 2008 Materia: Narrativa de 8 a 10 años ISBN: 978-84-9867-048-6 Páginas: 96 Encuadernación: Rústica Idioma: Español
ERNESTO EL APRENDIZ DE MATEMATICO,José Muñoz Santonja,,Editorial: NIVOLA Año de edición: 2008 Materia: Narrativa de 10 a 12 años ISBN: 978-84-96566-89-7 Páginas: 153 Encuadernación: Rústica Idioma: Español
ES LA TIERRA LA QUE GIRA ALREDEDOR DEL SOL,Miguel Ángel Barbero Barrios,,Editorial: DIDACBOOK Año de edición: 2014 Materia: Narrativa de 6 a 8 años ISBN: 978-84-15969-02-0 Páginas: 50 Idioma: Español
ESCENARIOS CON PEGATINAS (4 TITULOS),Varios Autores,,"Editorial: SUSAETA Año de edición: 2011 Materia: Aprendizaje temprano, juegos y actividades ISBN: 978-84-677-1229-2 Páginas: 2 Encuadernación: Rústica Colección: Escenarios Con Pegatinas Idioma: Español"
ESA ERES TU Y ESTE SOY YO,Varios Autores,,Editorial: ELFOS Año de edición: 2009 Materia: Narrativa de 3 a 6 años ISBN: 978-84-8423-313-8 Colección: ¿qué? ¿cómo? ¿por Qué? Idioma: Español
ESCRIBE Y BORRA LETRAS ABC+ROTULADOR,Varios Autores,,Editorial: TODOLIBRO EDICIONES S.A. Año de edición: 2014 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-9037-013-1 Páginas: 24 Encuadernación: Espiral Idioma: Español
ESCENAS DE LAZY TOWN. CON MÁS DE 80 PEGATINAS,Varios Autores,,Editorial: EVEREST Año de edición: 2011 Materia: Juegos y actividades de 6 a 8 años ISBN: 978-84-441-6700-8 Páginas: 32 Colección: Lazy Town Idioma: Español
N/A,,,
N/A,,,
"ES HORA DE DORMIR, MI AMOR",Eric Metaxas,,Editorial: LINTEO Año de edición: 2012 Materia: Álbum ilustrado ISBN: 978-84-96067-76-9 Páginas: 44 Idioma: Español
N/A,,,
ERIK VOGLER. 2: EN MUERTE EN EL BALNEARIO,Beatriz Osés,,Editorial: EDEBÉ Año de edición: 2014 Materia: Narrativa de 12 a 14 años ISBN: 978-84-683-1285-9 Páginas: 160 Encuadernación: Rústica Idioma: Español Temas: Intriga Valores: Humor. Ingenio
"ERIK, HIJO DE ÁRKHELAN. 2: EL EJÉRCITO EN LA SOMBRA",Miguel Á. Jordán,,"Editorial: AMBAR ESPAÑA, S.A. Año de edición: 2011 Materia: Narrativa de 12 a 14 años ISBN: 978-84-92687-49-7 Páginas: 216 Encuadernación: Rústica Colección: Juvenil Idioma: Español Temas: Aventuras. Convivencia y relaciones sociales Valores: Amistad. Familia. Lealtad. Valentía"
ERES MI BEBE - LA SELVA,Lorena Siminovich,,Editorial: CATAPULTA Año de edición: 2014 Materia: Para leer a los niños ISBN: 978-987-637-256-5 Páginas: 10 Encuadernación: Cartoné Idioma: Español
"ERIK, HIJO DE ÁRKHELAN. 3: JUSTICIA Y HONOR",Miguel Á. Jordán,,"Editorial: AMBAR ESPAÑA, S.A. Año de edición: 2012 Materia: Narrativa de 12 a 14 años ISBN: 978-84-92687-57-2 Páginas: 288 Encuadernación: Rústica Colección: Juvenil Idioma: Español Temas: Aventuras Valores: Amistad. Lealtad. Valentía"
ERNESTO,Lola Casas,,Editorial: RBA LIBROS Año de edición: 2007 Materia: Narrativa de 6 a 8 años ISBN: 978-84-7871-663-0 Páginas: 40 Encuadernación: Cartoné Idioma: Español
"ES HORA DE VOLVER A CASA, CONEJITO",Emily Hawkins,,Editorial: JUVENTUD Año de edición: 2010 Materia: Narrativa de 3 a 6 años ISBN: 978-84-261-3790-6 Páginas: 16 Encuadernación: Cartoné Colección: Infantil Idioma: Español
"ERIK, HIJO DE ÁRKHELAN. 1: EL AMANECER DEL GUERRERO",Miguel Á. Jordán,,"Editorial: AMBAR ESPAÑA, S.A. Año de edición: 2010 Materia: Narrativa de 12 a 14 años ISBN: 978-84-92687-23-7 Páginas: 235 Encuadernación: Rústica Colección: Juvenil Idioma: Español Temas: Conocimiento del entorno. Convivencia y relaciones sociales. Viajes Valores: Familia. Responsabilidad. Valentía"
ESCRIBO Y BORRO. LETRAS (CON IMANES),Varios Autores,,Editorial: SUSAETA Año de edición: 2013 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-677-1976-5 Páginas: 12 Encuadernación: Cartoné Idioma: Español
ESCRIBO3. CUADRICULA,,,Editorial: ANAYA Año de edición: 2008 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-667-6558-9 Páginas: 128 Encuadernación: Rústica Idioma: Español
ESCRIBO Y BORRO. NÚMEROS (CON IMANES),Varios Autores,,Editorial: SUSAETA Año de edición: 2013 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-677-1977-2 Páginas: 12 Encuadernación: Cartoné Idioma: Español
"ESCRIBO, PINTO Y BORRO EN INGLÉS (2 TÍTULOS)",Varios Autores,,Editorial: TODOLIBRO EDICIONES S.A. Año de edición: 2012 Materia: Inglés elemental ISBN: 978-84-9913-854-1 Páginas: 16 Encuadernación: Rústica Idioma: Español
ESCRIBO 4. CUADRICULA,,,Editorial: ANAYA Año de edición: 2008 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-667-6559-6 Páginas: 64 Encuadernación: Rústica Idioma: Español
ESCRIBO 2 CUADRICULA,,,Editorial: ANAYA Año de edición: 2008 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-667-6557-2 Páginas: 128 Encuadernación: Rústica Idioma: Español
ESCRIBE Y BORRA NUMEROS 123+ROTULADOR,Varios Autores,,Editorial: TODOLIBRO EDICIONES S.A. Año de edición: 2014 Materia: Juegos y actividades de 3 a 6 años ISBN: 978-84-9037-014-8 Páginas: 24 Encuadernación: Espiral Idioma: Español
N/A,,,
N/A,,,
ESAS GRANDES PREGUNTAS SOBRE EL ESPACIO Y EL TIEMPO,Mark Brake,,Editorial: SM Año de edición: 2011 Materia: Divulgación de 10 a 12 años ISBN: 978-84-675-4408-4 Páginas: 64 Encuadernación: Cartoné Idioma: Español
ESCONDITES Y SECRETOS,Marie Barguidjan Bletton,,Editorial: SM Año de edición: 2006 Materia: De 3 a 6 años ISBN: 978-84-675-1094-2 Páginas: 32 Encuadernación: Cartoné Idioma: Español
ESCENAS DE DINOSAURIOS (2 TITULOS),,,Editorial: SUSAETA Año de edición: 2009 Materia: De 3 a 6 años ISBN: 978-84-305-7144-4 Páginas: 10 Encuadernación: Rústica Colección: Escenas de Idioma: Español
ESAS COSAS QUE NO SE VEN A SIMPLE VISTA,Margarita García Gallardo,,Editorial: EDEBÉ Año de edición: 2013 Materia: Narrativa de 8 a 10 años ISBN: 978-84-683-0864-7 Páginas: 168 Encuadernación: Rústica Colección: Tucán Naranja Idioma: Español Temas: Convivencia y relaciones sociales. Crecimiento personal Valores: Amistad. Superación de las dificultades
ESCUCHA A LOS ANIMALES DE LA GRANJA,Varios Autores,,Editorial: MACMILLAN Año de edición: 2010 Materia: De 3 a 6 años ISBN: 978-84-7942-569-2 Páginas: 24 Encuadernación: Cartoné Idioma: Español
ESCUCHA TUS MASCOTAS,Varios Autores,,"Editorial: MACMILLAN Año de edición: 2012 Materia: Baño, tela, sonoros... ISBN: 978-84-15430-63-6 Páginas: 10 Colección: Infantil y Juvenil Idioma: Español"
ESCUELA,Varios Autores,,"Editorial: LIBSA Año de edición: 2011 Materia: Baño, tela, sonoros... ISBN: 978-84-662-2444-4 Páginas: 26 Encuadernación: Cartoné Idioma: Español Temas: Conocimiento del entorno Valores: Atención. Observación"
ESAS GRANDES PREGUNTAS SOBRE LA VIDA,Stephen Law,,Editorial: SM Año de edición: 2011 Materia: Divulgación de 12 a 14 años ISBN: 978-84-675-4407-7 Páginas: 64 Encuadernación: Cartoné Idioma: Español
ESA GIGANTESCA PEQUEÑA COSA,Beatrice Alemagna,,Editorial: SM Año de edición: 2011 Materia: Álbum ilustrado ISBN: 978-84-675-5225-6 Páginas: 40 Encuadernación: Cartoné Idioma: Español
ESA SALVAJE EDAD DE PIEDRA,Terry Deary,,Editorial: RBA LIBROS Año de edición: 2008 Materia: Divulgación de 12 a 14 años ISBN: 978-84-9867-289-3 Páginas: 128 Encuadernación: Rústica Colección: Esa Horrible Historia Idioma: Español
ESCENARIOS FANTÁSTICOS,Joan Manuel Gisbert,,Editorial: OXFORD UNIVERSITY PRESS Año de edición: 2010 Materia: Narrativa de 12 a 14 años ISBN: 978-84-673-5422-5 Páginas: 208 Idioma: Español Temas: Educación artística. Fantasía Valores: Creatividad. Imaginación
"ESCRIBE, REPASA Y BORRA.(APRENDE JUGANDO)",Varios Autores,,Editorial: SAN PABLO Año de edición: 2011 Materia: De 3 a 6 años ISBN: 978-84-285-3732-2 Páginas: 64 Colección: Aprender Idioma: Español
ESCAPAR DE UN CUENTO,"[""Concha López Narváez"", ""Rafael Salmerón López""]",,Editorial: ANAYA INFANTIL Y JUVENIL Año de edición: 2014 Materia: Narrativa de 6 a 8 años ISBN: 978-84-678-6099-3 Páginas: 80 Encuadernación: Rústica Colección: El Duende Verde Idioma: Español Temas: Comunicación y representación. Fantasía Valores: Creatividad. Imaginación
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
ESCUELA DE DIBUJO PARA NIÑOS. ANIMALES,Corina Beurenmeister,,Editorial: EL DRAC Año de edición: 2013 Materia: Juegos y actividades de 6 a 8 años ISBN: 978-84-9874-316-6 Páginas: 64 Encuadernación: Rústica Idioma: Español
ESCUELA DE DANZA. 3: LA NOCHE DE LA GRAN GALA,Aurora Marsotto,,Editorial: LA GALERA Año de edición: 2010 Materia: Narrativa de 8 a 10 años ISBN: 978-84-246-3397-4 Páginas: 152 Encuadernación: Rústica Colección: Escuela de Danza Idioma: Español
